Item_ID,Master_Restaurant_Id,Date_ID,Time of Order,Order Delivered Date,Time of Delivery,Expected Delivery Time,Delivery Time (in mins),Restaurant_ID,Desc_ID,Location_ID,Avg Rating_ID,Type_ID,Category_ID,Cuisine_ID,Working Hrs,Delivery Available,Table Booking Available,Price,Discounts Offered (%),Discounted Price,Expected Revenue,Customer ID,Cust Rating_ID,Order_Status_ID,Cancellation_ID,Actual Revenue,Operating Cost,GP Margin,Total Number of Reviews,Number of Complaints Received,Foot Traffic in Location,Competitors in the Area (Count),Subscription_ID,Budgetd_Rev,Budgetd_Operating Cost,Budgeted Order,Budgeted GP,Acquisition cost,Value,year,month
3,91,1583,4:43:40,2024-05-01,5:16:40,38,33,91,999,1,4,1,999,999,11:00AM - 11:00PM,YES,NO,795.14,6.46,743.77,743.77,463,1,999,5,743.77,509.04,234.73,82,16,high,15,1,806.5,515.19,534.0,93.51,37.33,250.21,2024,5
3,89,1583,9:06:30,2024-05-01,9:57:30,22,51,89,999,6,5,1,999,999,11:00AM - 11:00PM,YES,NO,725.45,26.27,534.87,534.87,840,2,999,5,534.87,388.21,146.66,238,42,low,25,3,520.38,173.89,582.0,63.83,39.54,200.56,2024,5
6,67,1583,19:38:00,2024-05-01,20:22:00,35,44,70,908,1,3,1,3,7,11:00AM - 11:00PM,YES,YES,465.94,5.21,441.66,441.66,3227,5,999,5,441.66,305.77,135.89,211,12,medium,20,1,431.11,310.66,296.0,120.45,22.5,154.17,2024,5
3,89,1583,1:50:48,2024-05-01,2:23:48,57,33,89,999,6,2,1,999,999,11:00AM - 11:00PM,YES,YES,456.6,33.79,302.31,302.31,573,4,999,3,0.0,190.83,111.48,193,22,low,9,3,530.18,434.27,547.0,246.56,31.01,139.19,2024,5
6,72,1583,13:24:00,2024-05-01,14:16:00,52,52,93,978,14,2,1,7,3,11:00AM - 11:00PM,YES,YES,464.48,29.14,329.13,329.13,3052,3,999,2,0.0,198.48,130.65,240,14,medium,14,1,336.69,217.91,101.0,118.78,17.91,145.17,2024,5
3,89,1583,4:40:47,2024-05-01,5:13:47,20,33,89,999,6,1,1,999,999,11:00AM - 11:00PM,YES,NO,701.36,25.71,521.04,521.04,611,1,998,1,0.0,380.48,140.56,107,42,high,15,1,441.78,415.15,586.0,203.14,16.19,248.3,2024,5
6,64,1583,15:48:00,2024-05-01,16:51:00,59,63,47,939,16,7,1,5,5,11:00AM - 11:00PM,YES,YES,255.85,18.44,208.67,208.67,3125,2,999,5,208.67,162.69,45.98,115,15,high,6,1,225.73,175.06,198.0,50.67,12.46,90.17,2024,5
6,67,1583,0:46:00,2024-05-01,1:19:00,31,33,30,990,1,3,1,2,5,11:00AM - 11:00PM,YES,YES,941.86,13.03,819.14,819.14,892,2,999,5,819.14,535.71,283.43,247,5,low,18,1,793.73,550.52,117.0,243.21,19.24,356.13,2024,5
5,44,1583,21:58:30,2024-05-01,0:36:00,34,36,84,952,4,7,1,107,184,10:00AM - 10:00PM,NO,YES,897.0,9.71,809.9,809.9,3075,7,191,5,809.9,597.43,212.47,163,6,medium,8,3,767.75,534.49,0.0,233.26,16.85,195.62,2024,5
3,89,1583,2:52:30,2024-05-01,3:46:30,44,54,89,999,6,5,1,999,999,11:00AM - 11:00PM,YES,NO,696.51,17.42,575.18,575.18,681,3,999,5,575.18,404.99,170.19,95,42,low,17,2,656.57,221.09,526.0,239.05,44.51,153.85,2024,5
6,70,1583,5:09:00,2024-05-01,5:41:00,30,32,66,949,1,5,1,3,4,11:00AM - 11:00PM,YES,YES,847.39,9.22,769.26,769.26,856,5,999,5,769.26,604.4,164.86,94,11,high,10,1,836.84,629.78,213.0,207.06,20.35,188.33,2024,5
3,91,1583,8:18:48,2024-05-01,9:17:48,49,59,91,999,1,2,1,999,999,11:00AM - 11:00PM,YES,YES,933.5,9.3,846.68,846.68,1401,2,999,1,0.0,505.57,341.11,45,13,low,10,3,707.01,364.78,350.0,157.39,36.26,157.39,2024,5
5,44,1583,5:15:20,2024-05-01,0:51:00,42,51,87,917,4,3,1,139,139,10:00AM - 10:00PM,YES,YES,703.0,8.75,641.49,641.49,3550,3,947,5,641.49,459.59,181.9,125,4,low,20,3,644.39,453.12,0.0,191.27,23.87,158.03,2024,5
5,44,1583,8:16:49,2024-05-01,0:48:00,40,48,28,959,4,1,1,188,104,10:00AM - 10:00PM,NO,YES,531.0,10.28,476.41,476.41,3588,1,568,4,0.0,345.59,130.82,63,10,low,16,3,488.11,363.28,0.0,124.83,14.4,116.42,2024,5
3,90,1583,15:01:30,2024-05-01,15:42:30,55,41,90,999,11,5,1,999,999,11:00AM - 11:00PM,YES,NO,257.27,8.5,235.4,235.4,1341,3,998,5,235.4,134.45,100.95,167,46,low,4,2,476.3,422.24,320.0,224.72,12.53,237.11,2024,5
6,72,1583,5:10:00,2024-05-01,5:48:00,36,38,83,930,14,7,1,5,3,11:00AM - 11:00PM,YES,YES,1095.63,11.03,974.78,974.78,3064,5,999,5,974.78,647.24,327.54,235,11,low,11,1,1012.57,705.54,276.0,307.03,27.67,350.49,2024,5
5,45,1583,23:01:32,2024-05-01,0:36:00,49,36,77,930,1,1,1,103,114,10:00AM - 10:00PM,NO,NO,1048.0,22.75,809.58,809.58,3319,1,296,4,0.0,496.6,312.98,85,9,low,16,1,757.49,501.21,0.0,256.28,17.27,295.71,2024,5
6,65,1583,8:59:00,2024-05-01,9:47:00,45,48,43,926,1,7,1,9,3,11:00AM - 11:00PM,YES,YES,1127.49,13.63,973.81,973.81,721,4,999,5,973.81,773.0,200.81,224,8,low,14,1,963.96,767.01,158.0,196.95,18.01,228.28,2024,5
5,45,1583,10:02:56,2024-05-01,0:57:00,58,57,67,963,1,3,1,138,184,10:00AM - 10:00PM,NO,NO,499.0,39.52,301.8,301.8,3548,3,114,5,301.8,182.12,119.68,234,2,medium,19,1,287.58,203.73,0.0,83.85,10.25,109.43,2024,5
7,16,1583,2:00:00,2024-05-01,8:01:00,30,43,92,982,12,6,2,4,18,11:00AM - 11:00PM,No,YES,274.92,10.17,246.96,246.96,3376,6,999,5,246.96,173.21,73.75,243,12,high,11,1,269.9,165.29,228.0,74.12,27.7,320.71,2024,5
6,70,1583,2:51:00,2024-05-01,4:00:00,59,69,34,984,1,4,1,2,2,11:00AM - 11:00PM,YES,YES,411.11,13.71,354.75,354.75,995,4,999,5,354.75,280.37,74.38,137,13,low,17,1,360.11,276.18,207.0,83.93,21.46,129.75,2024,5
5,44,1583,9:27:12,2024-05-01,0:37:00,43,37,82,979,4,3,1,187,183,10:00AM - 10:00PM,YES,NO,329.0,13.58,284.32,284.32,3418,3,810,5,284.32,201.72,82.6,97,2,high,14,3,283.25,198.79,0.0,84.46,10.01,72.59,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,55.9015,38.999803,0.0,16.901697,15.04424779,1.39,2024,5
3,91,1584,14:49:56,2024-05-02,15:10:56,34,21,91,999,1,2,1,999,999,11:00AM - 11:00PM,YES,YES,725.77,31.31,498.53,498.53,973,3,999,2,0.0,308.89,189.64,172,32,low,15,2,717.86,465.15,384.0,122.06,43.25,235.09,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.4432,39.899088,0.0,14.544112,15.78947368,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.4432,38.49912,0.0,15.94408,14.54545455,1.39,2024,5
5,45,1584,6:23:55,2024-05-02,0:23:00,43,23,12,942,1,6,1,127,158,10:00AM - 10:00PM,YES,YES,817.0,30.35,569.04,569.04,3786,6,972,5,569.04,351.14,217.9,123,6,high,11,1,625.66,449.72,0.0,175.94,21.97,195.93,2024,5
6,65,1584,10:54:00,2024-05-02,11:26:00,33,32,86,954,1,3,1,7,9,11:00AM - 11:00PM,YES,YES,560.44,12.18,492.18,492.18,675,2,999,5,492.18,381.52,110.66,26,6,high,6,1,490.19,394.46,300.0,95.73,26.24,191.64,2024,5
5,42,1584,14:20:36,2024-05-02,0:56:00,43,56,63,927,8,3,1,174,161,10:00AM - 10:00PM,NO,YES,1448.0,17.91,1188.66,1188.66,3971,3,235,5,1188.66,735.61,453.05,249,4,high,5,2,1136.86,813.97,0.0,322.89,28.76,424.29,2024,5
5,44,1584,0:43:09,2024-05-02,0:39:00,33,39,66,961,4,4,1,200,119,10:00AM - 10:00PM,YES,NO,1393.0,33.13,931.5,931.5,3157,4,296,5,931.5,686.06,245.44,278,6,medium,11,2,863.66,577.18,0.0,286.48,25.1,220.34,2024,5
5,45,1584,21:34:01,2024-05-02,0:30:00,53,30,24,993,1,2,1,168,120,10:00AM - 10:00PM,YES,YES,378.0,19.26,305.2,305.2,3649,2,210,2,0.0,236.98,68.22,98,4,high,19,2,333.2,239.74,0.0,93.46,16.16,52.06,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,53.9571,40.24908,0.0,13.70802,14.7826087,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,12.0,118,99,Medium,9,2,53.9571,41.56155,0.0,12.39555,14.9122807,1.39,2024,5
5,42,1584,4:47:45,2024-05-02,0:50:00,42,50,76,908,8,7,1,144,113,10:00AM - 10:00PM,YES,YES,1399.0,35.28,905.43,905.43,3906,7,305,5,905.43,613.58,291.85,64,4,high,15,2,899.96,672.51,0.0,227.45,25.02,266.83,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,39.0,10.0,118,99,Medium,9,2,53.9571,43.16568,0.0,10.79142,17.11711712,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,34.0,15.0,118,99,Medium,9,2,54.9293,38.45051,0.0,16.47879,13.27433628,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.4432,39.199104,0.0,15.244096,17.85714286,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,13.0,118,99,Medium,9,2,55.9015,41.007396,0.0,14.894104,16.66666667,1.39,2024,5
3,89,1584,20:46:47,2024-05-02,21:44:47,51,58,89,999,6,6,1,999,999,11:00AM - 11:00PM,YES,NO,609.45,18.96,493.9,493.9,464,5,999,5,493.9,294.97,198.93,38,37,high,22,2,738.32,156.39,444.0,169.44,37.02,137.36,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,38.0,10.0,118,99,Medium,9,2,54.4432,43.778166,0.0,10.665034,13.15789474,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,13.0,118,99,Medium,9,2,53.471,39.388683,0.0,14.082317,14.41441441,1.39,2024,5
6,69,1584,6:04:00,2024-05-02,6:56:00,51,52,79,923,4,6,1,5,8,11:00AM - 11:00PM,YES,YES,431.32,25.28,322.28,322.28,942,2,999,5,322.28,221.14,101.14,52,12,medium,22,1,339.28,225.91,131.0,113.37,12.68,170.34,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,12.0,118,99,Medium,9,2,55.9015,41.746268,0.0,14.155232,14.15929204,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,54.4432,42.295561,0.0,12.147639,15.92920354,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,13.0,118,99,Medium,9,2,53.471,40.098389,0.0,13.372611,14.15929204,1.39,2024,5
3,90,1584,13:34:34,2024-05-02,14:11:34,55,37,90,999,11,1,1,999,999,11:00AM - 11:00PM,NO,YES,538.79,20.92,426.08,426.08,678,4,999,3,0.0,337.24,88.84,41,9,high,11,3,634.17,499.51,510.0,83.53,13.54,232.49,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,13.0,118,99,Medium,9,2,55.4154,39.928254,0.0,15.487146,14.41441441,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,55.4154,43.044155,0.0,12.371245,16.52173913,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,38.0,10.0,118,99,Medium,9,2,55.4154,43.394147,0.0,12.021253,13.27433628,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,39.0,10.0,118,99,Medium,9,2,53.9571,43.55456,0.0,10.40254,15.17857143,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,39.0,10.0,118,99,Medium,9,2,54.4432,43.94344,0.0,10.49976,13.27433628,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.9293,39.899088,0.0,15.030212,14.03508772,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,53.9571,43.044155,0.0,10.912945,13.91304348,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,55.9015,39.690065,0.0,16.211435,14.7826087,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,53.9571,41.546967,0.0,12.410133,18.01801802,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,13.0,118,99,Medium,9,2,53.9571,40.808095,0.0,13.149005,14.7826087,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,13.0,118,99,Medium,9,2,55.4154,39.388683,0.0,16.026717,14.41441441,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,55.9015,39.899088,0.0,16.002412,13.15789474,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,39.0,10.0,118,99,Medium,9,2,55.4154,43.16568,0.0,12.24972,18.01801802,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,38.0,10.0,118,99,Medium,9,2,55.4154,43.778166,0.0,11.637234,17.54385965,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,55.9015,42.669858,0.0,13.231642,14.9122807,1.39,2024,5
6,70,1584,8:41:00,2024-05-02,9:29:00,40,48,31,940,1,4,1,6,3,11:00AM - 11:00PM,YES,YES,652.66,11.22,579.43,579.43,756,3,999,5,579.43,439.52,139.91,132,10,high,15,2,629.0,425.38,115.0,203.62,18.59,227.08,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.9293,39.549096,0.0,15.380204,14.15929204,1.39,2024,5
5,42,1584,1:34:11,2024-05-02,0:54:00,57,54,38,942,8,3,1,120,156,10:00AM - 10:00PM,NO,YES,1160.0,11.61,1025.32,1025.32,3857,3,55,5,1025.32,678.72,346.6,63,2,low,12,1,974.78,708.81,0.0,265.97,29.11,317.49,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,12.0,118,99,Medium,9,2,55.9015,40.10325,0.0,15.79825,16.36363636,1.39,2024,5
6,64,1584,7:57:00,2024-05-02,8:41:00,39,44,49,956,16,3,1,2,6,11:00AM - 11:00PM,YES,YES,422.49,18.34,345.01,345.01,860,4,999,5,345.01,259.82,85.19,101,19,medium,25,1,352.33,275.12,131.0,77.21,11.42,125.67,2024,5
7,12,1584,3:57:00,2024-05-02,2:22:00,30,56,54,948,8,2,2,5,16,11:00AM - 11:00PM,No,YES,465.48,33.79,308.19,308.19,3590,2,999,1,0.0,158.31,149.88,436,15,low,23,1,352.08,166.96,222.0,177.55,23.99,458.07,2024,5
3,90,1584,2:51:15,2024-05-02,3:23:15,26,32,90,999,11,3,1,999,999,11:00AM - 11:00PM,NO,YES,830.42,33.77,549.99,549.99,177,5,998,5,549.99,358.13,191.86,37,50,medium,24,2,688.32,549.87,444.0,238.1,25.25,136.32,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,53.471,39.690065,0.0,13.780935,16.52173913,1.39,2024,5
6,61,1584,20:30:00,2024-05-02,21:16:00,52,46,54,974,6,6,1,9,7,11:00AM - 11:00PM,YES,YES,984.11,14.04,845.94,845.94,3080,2,999,5,845.94,596.51,249.43,106,11,medium,24,1,912.83,654.3,211.0,258.53,11.56,255.15,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,13.0,118,99,Medium,9,2,54.4432,40.098389,0.0,14.344811,17.69911504,1.39,2024,5
5,43,1584,4:01:44,2024-05-02,0:59:00,45,59,40,991,7,1,1,190,137,10:00AM - 10:00PM,NO,YES,1431.0,18.22,1170.27,1170.27,3556,1,349,3,0.0,756.78,413.49,217,4,high,6,3,1281.51,925.98,0.0,355.53,12.71,400.78,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,34.0,15.0,118,99,Medium,9,2,55.4154,38.11024,0.0,17.30516,16.96428571,1.39,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,12.0,118,99,Medium,9,2,53.471,40.467825,0.0,13.003175,17.11711712,1.39,2024,5
6,72,1584,5:54:00,2024-05-02,6:39:00,43,45,49,916,14,7,1,4,10,11:00AM - 11:00PM,YES,YES,881.05,24.93,661.4,661.4,834,5,999,5,661.4,414.66,246.74,186,10,low,12,2,655.08,454.82,291.0,200.26,28.91,335.69,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,38.0,11.0,118,99,Medium,9,2,54.9293,43.224012,0.0,11.705288,14.9122807,1.39,2024,5
5,44,1584,4:53:54,2024-05-02,0:59:00,55,59,72,938,4,4,1,144,126,10:00AM - 10:00PM,YES,YES,483.0,19.48,388.91,388.91,3632,4,311,5,388.91,300.7,88.21,291,7,high,12,1,363.98,266.6,0.0,97.38,12.76,75.45,2024,5
3,89,1584,23:01:03,2024-05-02,23:55:03,44,54,89,999,6,7,1,999,999,11:00AM - 11:00PM,YES,YES,276.2,30.79,191.16,191.16,816,1,999,5,191.16,100.98,90.18,136,44,medium,25,1,373.7,437.92,567.0,140.08,14.57,131.42,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,53.471,41.17267,0.0,12.29833,13.63636364,1.39,2024,5
5,44,1584,11:05:56,2024-05-02,0:43:00,36,43,26,958,4,2,1,162,125,10:00AM - 10:00PM,YES,NO,268.0,34.03,176.8,176.8,3121,2,821,1,0.0,124.07,52.73,164,6,high,11,2,179.02,126.1,0.0,52.92,15.42,37.31,2024,5
5,44,1584,8:29:14,2024-05-02,0:48:00,59,48,73,908,4,1,1,130,113,10:00AM - 10:00PM,YES,YES,361.0,8.98,328.58,328.58,3365,1,624,3,0.0,243.76,84.82,155,5,high,15,3,355.17,257.02,0.0,98.15,23.04,61.78,2024,5
3,90,1584,17:53:01,2024-05-02,18:30:01,51,37,90,999,11,1,1,999,999,11:00AM - 11:00PM,YES,NO,808.38,22.19,629.0,629.0,1735,3,999,4,0.0,465.45,163.55,242,30,high,16,3,306.48,292.49,583.0,100.43,34.73,135.38,2024,5
18,10,1218,23:15:24,2024-05-02,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,12.0,118,99,Medium,9,2,53.471,41.926125,0.0,11.544875,14.7826087,1.39,2024,5
7,20,1584,11:28:00,2024-05-02,4:35:00,30,43,53,959,11,7,2,7,8,12:00PM - 2:00AM,YES,YES,360.28,26.8,263.72,263.72,3358,7,999,5,263.72,196.32,67.4,412,4,high,23,1,303.4,181.13,205.0,79.97,25.15,331.12,2024,5
